Participant,Test_Condition,LDA_F0.5,LDA_Accuracy,SVM_F0.5,SVM_Accuracy
1,Joystick,0.6967213114754098,0.32432432432432434,0.6559597523219814,0.2702702702702703
1,Leaning,0.41124260355029585,0.02631578947368421,0.44936708860759494,0.0
1,Omnideck,0.5389390519187359,0.16216216216216217,0.5263956310679612,0.16216216216216217
1,Walking,0.48982869379014987,0.05405405405405406,0.4797979797979798,0.10810810810810811
2,Joystick,0.234375,0.05263157894736842,0.24709302325581395,0.05263157894736842
2,Leaning,0.3816300129366106,0.13157894736842105,0.3820645905420992,0.15789473684210525
2,Omnideck,0.4146919431279621,0.18421052631578946,0.3866809881847476,0.02631578947368421
2,Walking,0.3756830601092896,0.10526315789473684,0.3503562945368171,0.07894736842105263
3,Joystick,0.5108574610244989,0.18421052631578946,0.5778145695364238,0.21052631578947367
3,Leaning,0.6114830072090628,0.02631578947368421,0.5928411633109619,0.21052631578947367
3,Omnideck,,,,
3,Walking,0.5380434782608695,0.02631578947368421,0.4995711835334477,0.02631578947368421
4,Joystick,,,,
4,Leaning,,,,
4,Omnideck,,,,
4,Walking,,,,
5,Joystick,0.5582232893157263,0.07894736842105263,0.5193565976008724,0.05263157894736842
5,Leaning,0.40229885057471265,0.15789473684210525,0.491412213740458,0.13157894736842105
5,Omnideck,0.5581761006289309,0.13157894736842105,0.5789045553145337,0.13157894736842105
5,Walking,0.5648535564853556,0.18421052631578946,0.5420616113744076,0.10526315789473684
6,Joystick,0.6514270613107822,0.15789473684210525,0.6699346405228758,0.13157894736842105
6,Leaning,0.42698826597131684,0.13157894736842105,0.4476248477466504,0.05263157894736842
6,Omnideck,0.6093238822246456,0.18421052631578946,0.5900621118012422,0.18421052631578946
6,Walking,0.3442028985507246,0.13157894736842105,0.4179506933744222,0.39473684210526316
7,Joystick,,,,
7,Leaning,,,,
7,Omnideck,0.43208373904576436,0.10526315789473684,0.3125,0.10526315789473684
7,Walking,0.5291334661354582,0.08108108108108109,0.6079700272479565,0.32432432432432434
8,Joystick,0.7127192982456141,0.21052631578947367,0.6241997439180538,0.23684210526315788
8,Leaning,0.5385427666314678,0.18421052631578946,0.5623608017817372,0.21052631578947367
8,Omnideck,0.5188679245283019,0.10526315789473684,0.6011097410604193,0.23684210526315788
8,Walking,0.6404072883172561,0.18421052631578946,0.5994516450648056,0.13157894736842105
9,Joystick,0.522369714847591,0.13157894736842105,0.5403458213256485,0.05263157894736842
9,Leaning,0.6171786120591581,0.18421052631578946,0.6032135076252724,0.21052631578947367
9,Omnideck,0.6559107358262968,0.23684210526315788,0.6349840255591054,0.3684210526315789
9,Walking,0.6420521945432978,0.15789473684210525,0.5772113943028486,0.23684210526315788
10,Joystick,0.5673283261802575,0.05263157894736842,0.5249745158002038,0.02631578947368421
10,Leaning,0.6055986696230599,0.15789473684210525,0.5758582502768549,0.15789473684210525
10,Omnideck,0.49764428739693756,0.2894736842105263,0.5407303370786517,0.13157894736842105
10,Walking,0.5361339600470035,0.15789473684210525,0.50682261208577,0.07894736842105263
11,Joystick,0.5552907530981888,0.02631578947368421,0.5575684380032206,0.07894736842105263
11,Leaning,0.47565118912797283,0.15789473684210525,0.5465182648401826,0.10526315789473684
11,Omnideck,0.6795400943396226,0.23684210526315788,0.6099656357388317,0.15789473684210525
11,Walking,0.7166466346153846,0.3157894736842105,0.6525735294117647,0.3157894736842105
12,Joystick,0.42932242990654207,0.13157894736842105,0.5221518987341772,0.21052631578947367
12,Leaning,0.5678410794602698,0.23684210526315788,0.4792332268370607,0.13157894736842105
12,Omnideck,0.32822327044025157,0.10526315789473684,0.3996003996003996,0.10526315789473684
12,Walking,0.6010928961748634,0.15789473684210525,0.6062424969987995,0.2894736842105263
13,Joystick,0.5792377131394183,0.07894736842105263,0.5353430353430353,0.07894736842105263
13,Leaning,0.4015261627906977,0.05263157894736842,0.46668667466986796,0.10526315789473684
13,Omnideck,0.490819209039548,0.10526315789473684,0.5822095435684648,0.10526315789473684
13,Walking,,,,
14,Joystick,0.6950736126840317,0.18421052631578946,0.6755050505050505,0.10526315789473684
14,Leaning,0.5308823529411765,0.13157894736842105,0.4765625,0.3684210526315789
14,Omnideck,0.6301369863013698,0.34210526315789475,0.5953865336658354,0.2894736842105263
14,Walking,0.6524926686217009,0.21052631578947367,0.6147986942328618,0.2894736842105263
